CREATED_DATE	ORDER_ID	PERFORMER	CATEGORY	DURATION	QUALITY	DELIVERY_TIME	ORDER_STATE	UPLOAD_VIDEO	Performer_TOTAL	C4U_commission	Gross_Total	created_at	updated_at
Mon, 21/10/2013 - 02:14	2735	Gemma Hiles	Pantyhose / Stockings	30 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$406.74	$142.00	$549.00		
Mon, 21/10/2013 - 01:54	2734	Princess Samantha	Jerk Off Instruction	15 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$175.00	$61.00	$236.00		
Mon, 21/10/2013 - 01:22	2732	Cara Brett	Ass Worship	15 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$271.16	$95.00	$366.00		
Sun, 20/10/2013 - 21:05	2725	Abbey Barnsley	Belly Fetish	15 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$190.87	$67.00	$258.00		
Sun, 20/10/2013 - 21:21	2727	Princess Sofia	Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Sun, 20/10/2013 - 19:35	2723	Cali Garcia	Foot Worship	5 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$55.00	$19.00	$74.00		
Sun, 20/10/2013 - 19:27	2722	Nina Leigh	Jerk Off Instruction	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$85.00	$30.00	$115.00		
Sun, 20/10/2013 - 14:58	2713	Spoiled Bianca	Financial Domination	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 20/10/2013 - 12:30	2703	Danielle Anderson	Smoking	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$77.40	$27.00	$104.00		
Sun, 20/10/2013 - 09:02	2697	Fernanda Ferrari	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$77.40	$27.00	$104.00		
Sun, 20/10/2013 - 03:01	2690	Fernanda Ferrari	Flirt	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$132.70	$46.00	$179.00		
Sun, 20/10/2013 - 02:27	2686	Kitty Lea	Foot Worship	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Sat, 19/10/2013 - 19:33	2671	Amy Lu	Full Frontal Nude	5 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$117.50	$41.00	$159.00		
Sat, 19/10/2013 - 16:13	2661	Cara Brett	Tit Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$165.87	$58.00	$224.00		
Sat, 19/10/2013 - 14:03	2655	Lucy Summers	Glamour / Implied Nude	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$110.00	$39.00	$149.00		
Sat, 19/10/2013 - 12:00	2650	Kitty Lea	Tit Worship	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$205.00	$72.00	$277.00		
Sat, 19/10/2013 - 11:27	2646	Meggerz	Giantess Fetish	5 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Sat, 19/10/2013 - 10:51	2644	Lindsey Leigh	Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$10.00	$4.00	$14.00		
Sat, 19/10/2013 - 08:59	2641	Lindsey Leigh	Chastity	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$105.00	$37.00	$142.00		
Fri, 18/10/2013 - 18:47	2617	Bex Shiner	Small Penis Humiliation	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$157.50	$55.00	$213.00		
Fri, 18/10/2013 - 18:13	2614	Emmi	Flirt	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$45.00	$16.00	$61.00		
Fri, 18/10/2013 - 16:49	2610	Miss Ellechemy	Goddess Worship	15 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$300.00	$105.00	$405.00		
Fri, 18/10/2013 - 16:44	2609	Mikaela Witt	Tickling	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$275.00	$96.00	$371.00		
Fri, 18/10/2013 - 13:07	2596	Paige Green	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$120.00	$42.00	$162.00		
Fri, 18/10/2013 - 10:33	2590	Lady Jayden	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Fri, 18/10/2013 - 04:27	2582	Randy Moore	Femdom	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$135.00	$47.00	$182.00		
Fri, 18/10/2013 - 03:37	2581	Agent Sexy Hot	Jerk Off Instruction	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$52.50	$18.00	$71.00		
Fri, 18/10/2013 - 01:27	2576	Ashleigh Embers	Foot Worship	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$80.00	$28.00	$108.00		
Fri, 18/10/2013 - 00:57	2573	Lindsey Leigh	Tease & Denial	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Thu, 17/10/2013 - 19:54	2555	Carla Brown	Tease & Denial	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Wed, 16/10/2013 - 22:37	2520	Brie Taylor	Pantyhose / Stockings	30 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Wed, 16/10/2013 - 19:27	2511	Yuffie Yulan	Masturbation	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Wed, 16/10/2013 - 17:17	2505	Tashie Jackson	Tit Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$158.33	$55.00	$214.00		
Wed, 16/10/2013 - 17:16	2504	Meggerz	Ignore	5 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Wed, 16/10/2013 - 16:47	2502	Adele Taylor	Jerk Off Instruction	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$16.59	$6.00	$22.00		
Wed, 16/10/2013 - 16:18	2498	Adele Taylor	Glamour / Implied Nude	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$132.70	$46.00	$179.00		
Wed, 16/10/2013 - 13:09	2481	Jasmine Jones	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Tue, 15/10/2013 - 18:10	2459	Carla Brown	Financial Domination	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Tue, 15/10/2013 - 17:55	2458	Anais Jolie	Giantess Fetish	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Tue, 15/10/2013 - 17:43	2457	Sarah	Foot Slave Training	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$127.40	$45.00	$172.00		
Tue, 15/10/2013 - 13:53	2448	Kitty Lea	Goddess Worship	15 minutes	Standard Definition		Completed	Uploaded	$165.00	$58.00	$223.00		
Tue, 15/10/2013 - 09:20	2436	Mikaela Witt	Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Tue, 15/10/2013 - 08:28	2434	Kristi Maxx	Financial Domination	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Tue, 15/10/2013 - 01:07	2427	Anais Jolie	Giantess Fetish	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Mon, 14/10/2013 - 23:18	2424	Brie Taylor	Goddess Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$10.00	$4.00	$14.00		
Mon, 14/10/2013 - 23:07	2423	Brie Taylor	Cum Eating Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$10.00	$4.00	$14.00		
Mon, 14/10/2013 - 20:59	2419	Anais Jolie	Foot Worship	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Mon, 14/10/2013 - 20:43	2418	Kitty Lea	Tease & Denial	10 minutes	Standard Definition		Completed	Uploaded	$115.00	$40.00	$155.00		
Mon, 14/10/2013 - 18:39	2415	Princess Portia	Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$10.36	$4.00	$14.00		
Mon, 14/10/2013 - 14:36	2403	Adele Taylor	Glamour / Implied Nude	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$190.87	$67.00	$258.00		
Mon, 14/10/2013 - 10:45	2391	Princess Ellie	Cum Eating Instruction	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Sun, 13/10/2013 - 23:14	2373	Goddess Alexis	Financial Domination	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Sun, 13/10/2013 - 22:16	2371	Goddess Alexis	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Sun, 13/10/2013 - 21:54	2369	Goddess Alexis	Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Sun, 13/10/2013 - 21:48	2367	Sophia Lares	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$99.99	$35.00	$135.00		
Sun, 13/10/2013 - 15:00	2354	Lady Jayden	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 13/10/2013 - 14:49	2353	Jessika Jinx	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$65.00	$23.00	$88.00		
Sun, 13/10/2013 - 07:39	2343	Princess Lacey	Femdom POV	5 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Sun, 13/10/2013 - 05:01	2339	Lilly Roma	Jerk Off Instruction	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$22.11	$8.00	$30.00		
Sun, 13/10/2013 - 04:08	2338	Adele Taylor	Foot Worship	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$190.87	$67.00	$258.00		
Sun, 13/10/2013 - 02:30	2336	Kitty Lea	Foot Worship	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$105.00	$37.00	$142.00		
Sat, 12/10/2013 - 23:05	2330	Anais Jolie	Foot Slave Training	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Sat, 12/10/2013 - 22:26	2329	Brie Taylor	Masturbation	30 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sat, 12/10/2013 - 21:36	2326	Lana Lane	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$221.16	$77.00	$299.00		
Sat, 12/10/2013 - 21:03	2325	Eva Angelina	Upskirt	10 minutes	Standard Definition	Premium (up to 7 days)	Completed	Not Uploaded	$100.00	$35.00	$135.00		
Sat, 12/10/2013 - 18:48	2322	Saffron Taylor	Goddess Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Sat, 12/10/2013 - 18:17	2321	Nina Leigh	Ass Worship	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$87.50	$31.00	$118.00		
Sat, 12/10/2013 - 16:53	2318	Kitty Lea	High Heels	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$14.81	$5.00	$20.00		
Sat, 12/10/2013 - 14:10	2315	Jenny Laird	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$65.00	$23.00	$88.00		
Sat, 12/10/2013 - 13:51	2314	Mikaela Witt	Small Penis Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Sat, 12/10/2013 - 09:17	2296	Bex Shiner	Jerk Off Instruction	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$70.00	$25.00	$95.00		
Fri, 11/10/2013 - 21:09	2271	Mikaela Witt	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$225.00	$79.00	$304.00		
Fri, 11/10/2013 - 20:18	2269	Caty Cole		15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$531.01	$186.00	$717.00		
Fri, 11/10/2013 - 20:08	2268	Mistress B	Humiliation	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$52.00	$18.00	$70.00		
Fri, 11/10/2013 - 19:08	2267	Amy Lu	Foot Worship	15 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$102.50	$36.00	$138.00		
Fri, 11/10/2013 - 16:58	2258	Amyleen Moore	Femdom POV	5 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Fri, 11/10/2013 - 16:32	2257	Olivia Berzinc	Pantyhose / Stockings	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$70.00	$25.00	$95.00		
Fri, 11/10/2013 - 16:24	2256	Abbey Barnsley	Smoking	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Fri, 11/10/2013 - 15:59	2254	Jennifer Jade	Financial Domination	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$150.00	$53.00	$203.00		
Fri, 11/10/2013 - 15:21	2252	Goddess Jennifer	Humiliation	5 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Fri, 11/10/2013 - 15:09	2249	Preeti Young	Tit Worship	10 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$77.50	$27.00	$105.00		
Fri, 11/10/2013 - 14:26	2247	Adele Taylor	Foot Worship	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$16.59	$6.00	$22.00		
Fri, 11/10/2013 - 09:31	2239	Meggerz	Jerk Off Instruction	5 minutes	High Definition	Next Day (up to 24 hours)	Completed	Uploaded	$105.00	$37.00	$142.00		
Fri, 11/10/2013 - 09:13	2238	Kitty Lea	Glamour / Implied Nude	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$255.00	$89.00	$344.00		
Fri, 11/10/2013 - 05:59	2235	Ruby Summers	Chastity	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$80.00	$28.00	$108.00		
Fri, 11/10/2013 - 05:49	2234	Goddess Jennifer	Ass Worship	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$25.00	$9.00	$34.00		
Fri, 11/10/2013 - 04:18	2232	Goddess Jessica	Foot Worship	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Fri, 11/10/2013 - 01:27	2228	Jessy Jensen	Femdom POV	10 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$90.00	$32.00	$122.00		
Fri, 11/10/2013 - 01:02	2226	Jennifer Jade	Femdom POV	10 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$130.00	$46.00	$176.00		
Fri, 11/10/2013 - 00:54	2225	Randy Moore	Femdom POV	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$145.00	$51.00	$196.00		
Fri, 11/10/2013 - 00:35	2224	Charlene Hart	Femdom POV	10 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$100.00	$35.00	$135.00		
Thu, 10/10/2013 - 21:51	2222	Cara Brett	Leather / Latex / PVC	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$165.87	$58.00	$224.00		
Thu, 10/10/2013 - 20:23	2221	Ruby Summers	Jerk Off Instruction	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$80.00	$28.00	$108.00		
Thu, 10/10/2013 - 19:31	2220	Goddess Jennifer	Rip Off	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
